name,tool_id,category,subcategory,description,link,github_url,offering,open_source,self_hostable,pricing,maturity,released_at,updated_at,score,rank_in_subcategory
thesisai.io,thesisai-io,Academic & Research,SaaS,AI platform for academic writing with accurate inline citations,https://www.thesisai.io/fr/,,saas,false,false,freemium,,,,0,1
AutoScientists,autoscientists,Academic & Research,Python,Self-organizing AI agent teams for long-running scientific experimentation,,https://github.com/mims-harvard/AutoScientists,oss-library,true,true,free,,2026-05-21,2026-05-28,697,1
OpenMed,openmed,Academic & Research,Various,Open-source medical AI models and datasets for healthcare research.,,https://github.com/maziyarpanahi/openmed,oss-library,true,true,free,,2025-10-04,2026-07-16,4590,1
ZeroClaw,zeroclaw,Agent Runtimes & Frameworks,Rust,Fully autonomous AI personal assistant infrastructure,https://github.com/zeroclaw-labs/zeroclaw,https://github.com/zeroclaw-labs/zeroclaw,hybrid,false,false,freemium,,2026-02-13,2026-07-16,32275,2
AionUi,aionui,Agent Runtimes & Frameworks,Various,Local multi-agent cowork application for desktop collaboration,,https://github.com/iOfficeAI/AionUi,oss-library,true,true,free,,2025-08-07,2026-07-15,30181,3
browserbase skills,browserbase-skills,Agent Runtimes & Frameworks,Various,Reusable browser automation skills for AI agents,,https://github.com/browserbase/skills,oss-library,true,true,free,,2025-10-12,2026-07-11,3646,8
DeerFlow,deerflow,Agent Runtimes & Frameworks,Python,"Long-horizon SuperAgent harness for orchestrating sub-agents, memory, and sandboxes",https://github.com/bytedance/deer-flow,https://github.com/bytedance/deer-flow,hybrid,false,false,freemium,,2025-05-07,2026-07-16,77165,2
eigent-ai,eigent-ai,Agent Runtimes & Frameworks,Various,Open-source desktop automation platform with personal AI workforce,,https://github.com/eigent-ai/eigent,oss-library,true,true,free,,2025-07-29,2026-07-16,14570,5
Everything Claude Code,everything-claude-code,Agent Runtimes & Frameworks,Various,"Performance optimization system for AI agents like Claude Code, Codex, and Cursor",,https://github.com/affaan-m/everything-claude-code,oss-library,true,true,free,,2026-01-18,2026-07-14,230239,2
openwork,openwork,Agent Runtimes & Frameworks,Various,GUI-based alternative to Claude Cowork powered by OpenCode,,https://github.com/different-ai/openwork,oss-library,true,true,free,,2026-01-14,2026-07-16,16915,4
Oz,oz,Agent Runtimes & Frameworks,SaaS,Warp's built-in AI agent and cloud orchestration platform,https://www.warp.dev/oz,,saas,false,false,freemium,,,,0,1
Herdr,herdr,Agent Runtimes & Frameworks,Rust,Terminal-native agent runtime allowing multiple agents to run in one interface,https://herdr.dev/,,hybrid,false,false,freemium,,,,0,8
Superpowers,superpowers,Agent Runtimes & Frameworks,Various,An agentic skills framework and software development methodology that works,,https://github.com/obra/superpowers,oss-library,true,true,free,,2025-10-09,2026-07-16,255662,1
Awesome Claude Code,awesome-claude-code,Agent Runtimes & Frameworks,Markdown,"A curated list of skills, hooks, commands, orchestrators, and plugins for Claude Code",,https://github.com/hesreallyhim/awesome-claude-code,oss-library,true,true,free,,2025-04-19,2026-07-16,50132,1
Pika Skills,pika-skills,Agent Runtimes & Frameworks,Various,AI agent skills for the Pika Labs platform enabling automated video generation,,https://github.com/Pika-Labs/Pika-Skills,oss-library,true,true,free,,2026-04-01,2026-07-15,1156,10
Autonovel,autonovel,Agent Runtimes & Frameworks,Python,An autonomous novel writing pipeline powered by Hermes Agent for creative storytelling,,https://github.com/NousResearch/autonovel,oss-library,true,true,free,,2026-03-14,2026-03-20,1313,8
Agency Agents,agency-agents,Agent Runtimes & Frameworks,Python,A complete AI agency with specialized expert agents for diverse tasks,,https://github.com/msitarzewski/agency-agents,oss-library,true,true,free,,2025-10-13,2026-07-15,131920,1
